,win_num,trans_num,winrate,return,ann_return,,,,,,,,
SEDG,2,2,1,0.274882986,0.419250405,,,,,,,,
DISCA,2,2,1,0.482225736,0.382586881,,,,,,,,
DISCK,1,1,1,0.103751042,0.032987047,,,,,,,,
VRSK,2,2,1,0.29850536,0.671975808,,,,,,,,
ENPH,0,1,0,-0.43618202,-0.155020874,,,,,,,,
TT,5,5,1,0.626580949,0.646534857,,,,,,,,
ACN,1,1,1,0.447486177,0.211844947,,,,,,,,
GM,1,4,0.25,0.025313252,0.156910114,,,,,,,,
GNRC,0,1,0,-0.221910139,-0.127554647,,,,,,,,
IQV,0,0,0,0,0,,,,,,,,
LYB,1,1,1,0.687047421,1.067116206,,,,,,,,
NLSN,1,2,0.5,-0.182029965,0.168237256,,,,,,,,
HII,2,3,0.666666667,0.093688068,0.119394942,,,,,,,,
KMI,0,1,0,-0.419386158,-0.096699904,,,,,,,,
MPC,1,1,1,0.443218095,0.129523302,,,,,,,,
NCLH,0,1,0,-0.140439538,-0.346354267,,,,,,,,
FBHS,3,3,1,0.299577128,0.646445207,,,,,,,,
APTV,0,0,0,0,0,,,,,,,,
XYL,1,1,1,0.508257659,0.23016631,,,,,,,,
PSX,2,2,1,0.421197069,0.72215476,,,,,,,,
CEG,0,0,0,0,0,,,,,,,,
FANG,1,1,1,0.05843607,0.057182749,,,,,,,,
ABBV,2,2,1,0.273291989,0.334976276,,,,,,,,
ETN,3,4,0.75,0.393105304,0.263308927,,,,,,,,
ZTS,1,1,1,0.179470658,0.234791363,,,,,,,,
NWSA,1,1,1,0.086515978,0.092334304,,,,,,,,
NWS,1,1,1,0.130314239,1.398961683,,,,,,,,
ICE,1,1,1,0.237786812,0.339031979,,,,,,,,
ALLE,1,1,1,0.365313678,0.216460215,,,,,,,,
HLT,2,2,1,0.588402921,0.368629359,,,,,,,,
CZR,2,2,1,0.23697836,0.922426259,,,,,,,,
PAYC,1,1,1,0.064403097,0.183649457,,,,,,,,
OGN,0,0,0,0,0,,,,,,,,
ANET,1,1,1,0.300236673,0.158361829,,,,,,,,
CTLT,0,0,0,0,0,,,,,,,,
KEYS,0,0,0,0,0,,,,,,,,
SYF,0,0,0,0,0,,,,,,,,
QRVO,0,0,0,0,0,,,,,,,,
MDT,4,5,0.8,0.406602979,0.190366543,,,,,,,,
WBA,4,4,1,0.236853068,0.415915755,,,,,,,,
PYPL,0,0,0,0,0,,,,,,,,
KHC,0,0,0,0,0,,,,,,,,
HPE,1,1,1,0.249053747,0.199790369,,,,,,,,
GOOGL,4,5,0.8,0.212776125,0.534887409,,,,,,,,
GOOG,2,3,0.666666667,0.190968448,0.475108766,,,,,,,,
FTV,0,0,0,0,0,,,,,,,,
DD,3,5,0.6,0.144779914,0.087879958,,,,,,,,
LW,0,0,0,0,0,,,,,,,,
MRNA,0,0,0,0,0,,,,,,,,
DXC,4,7,0.571428571,0.1209504,0.074750032,,,,,,,,
IR,0,0,0,0,0,,,,,,,,
BKR,1,4,0.25,-0.028218463,-0.099121243,,,,,,,,
LIN,5,5,1,0.492236549,0.59530375,,,,,,,,
EVRG,3,4,0.75,0.027012139,0.081631073,,,,,,,,
CDAY,1,1,1,0.530782785,1.383826547,,,,,,,,
AVGO,1,1,1,0.177389886,0.251935052,,,,,,,,
WRK,0,0,0,0,0,,,,,,,,
CI,6,8,0.75,0.169774493,0.176923568,,,,,,,,
DIS,5,6,0.833333333,0.113787498,0.190711544,,,,,,,,
AMCR,0,0,0,0,0,,,,,,,,
DOW,0,0,0,0,0,,,,,,,,
FOXA,0,0,0,0,0,,,,,,,,
FOX,0,0,0,0,0,,,,,,,,
CTVA,0,0,0,0,0,,,,,,,,
STE,4,4,1,0.607938432,0.407005305,,,,,,,,
OTIS,0,0,0,0,0,,,,,,,,
CARR,0,0,0,0,0,,,,,,,,
VTRS,6,7,0.857142857,0.274525944,0.261403768,,,,,,,,
overall,1532,2050,0.747317073,0.387244211,0.357807057,,MACD&CCI,,,,,,
,,,,,,,SP500,恒生60,上证180,深证500,中证380,美股(1779支股票),中国(沪港深1118支股票)
,,,,,,成功交易数,1532,99,208,576,385,4053,1270
,,,,,,交易总数,2050,149,327,863,608,5813,1950
,,,,,,成功率,0.747317073,0.66442953,0.636085627,0.667439166,0.633223684,0.697230346,0.651282051
,,,,,,平均收益率,0.387244,0.476653,0.530698,0.692044,0.42375,0.383983,0.572409
,,,,,,平均年化收益率,0.357807,0.352927,0.391445,0.454698,0.396369,0.396172,0.421598
